,Unnamed: 0,vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,Time Series_ist,Duration
129,629,1,2018-12-31 23:52:54,2018-12-31 23:56:13,1,0.6,1,N,141,237,1,4.5,0.5,0.5,2.0,0.0,0.3,7.8,2019-01-01 05:26:13+05:30,3
130,630,1,2018-12-31 23:52:54,2019-01-01 00:05:33,1,4.6,1,N,107,75,2,14.5,0.5,0.5,0.0,0.0,0.3,15.8,2019-01-01 05:35:33+05:30,12
131,631,2,2018-12-31 23:52:52,2019-01-01 00:23:45,1,7.02,1,N,151,114,1,26.0,0.5,0.5,4.5,0.0,0.3,31.8,2019-01-01 05:53:45+05:30,30
132,632,1,2018-12-31 23:52:51,2019-01-01 00:09:21,1,4.3,1,N,263,147,2,15.5,0.5,0.5,0.0,0.0,0.3,16.8,2019-01-01 05:39:21+05:30,16
133,633,2,2018-12-31 23:52:51,2018-12-31 23:59:36,2,0.95,1,N,263,237,1,6.5,0.5,0.5,1.17,0.0,0.3,8.97,2019-01-01 05:29:36+05:30,6
134,634,2,2018-12-31 23:52:49,2019-01-01 00:16:13,1,9.59,1,N,132,198,1,28.0,0.5,0.5,7.32,0.0,0.3,36.62,2019-01-01 05:46:13+05:30,23
135,635,2,2018-12-31 23:52:48,2019-01-01 00:22:02,5,4.74,1,N,233,236,2,20.5,0.5,0.5,0.0,0.0,0.3,21.8,2019-01-01 05:52:02+05:30,29
136,636,1,2018-12-31 23:52:48,2019-01-01 00:05:37,2,2.5,1,N,79,87,1,11.0,0.5,0.5,2.45,0.0,0.3,14.75,2019-01-01 05:35:37+05:30,12
137,637,2,2018-12-31 23:52:47,2018-12-31 23:59:31,5,1.3,1,N,142,237,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3,2019-01-01 05:29:31+05:30,6
138,638,1,2018-12-31 23:52:47,2019-01-01 00:04:19,1,1.0,1,N,137,186,1,8.5,0.5,0.5,2.0,0.0,0.3,11.8,2019-01-01 05:34:19+05:30,11
